院校名称,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次,自主招生,艺术特长生,高水平运动员,学历,类型,经度,纬度
中国政法大学,1.0,0.0,0.0,0.31,0.03,0.067,0.6175999999999999,0.5,0.6435,0.6548,0.7004,0.1,1.0,1.0,1.0,0.2,0.07,0.11625444299985122,0.40230445020695454
北京邮电大学,1.0,0.0,1.0,0.31,0.03,0.069,0.6355,0.4,0.6426000000000001,0.6436,0.6674,0.4,1.0,1.0,1.0,0.2,0.05,0.1163645944791124,0.3996725000633573
北京工业大学,1.0,0.0,0.0,0.12,0.03,0.076,0.6286,0.3,0.6396999999999999,0.6483,0.6476000000000001,0.2,1.0,-1.0,1.0,0.2,0.05,0.11648815658167098,0.39881251063643414
首都医科大学,0.0,0.0,0.0,0.12,0.03,0.079,0.6409999999999999,0.4,0.6393,0.6452,0.6065999999999999,0.4,-1.0,-1.0,-1.0,0.2,0.04,0.11635973698189775,0.3987084705290569
中央民族大学,1.0,1.0,0.0,0.21,0.03,0.08,0.6178,0.4,0.6386999999999999,0.6507999999999999,0.6723,0.4,-1.0,-1.0,1.0,0.2,0.09,0.1163271264257829,0.39956624104643235
首都师范大学,0.0,0.0,0.0,0.12,0.03,0.086,0.6244,0.3,0.6347,0.6506000000000001,0.6082,0.2,-1.0,-1.0,1.0,0.2,0.06,0.1163120680406886,0.3993621210339255
中央财经大学,1.0,0.0,0.0,0.31,0.03,0.095,0.6088,0.4,0.634,0.6426000000000001,0.6999,0.4,1.0,-1.0,1.0,0.2,0.13,0.11628831450741044,0.40177796694031076
北京中医药大学,1.0,0.0,0.0,0.31,0.03,0.101,0.6246,0.4,0.6331,0.6381,0.6459999999999999,0.4,1.0,1.0,1.0,0.2,0.04,0.116438854251553,0.3987018508989895
对外经济贸易大学,1.0,0.0,0.0,0.31,0.03,0.112,0.6146,0.4,0.6309,0.6417,0.6504000000000001,0.4,1.0,1.0,1.0,0.2,0.13,0.11643434107484033,0.3998649064259156
北京外国语大学,1.0,0.0,0.0,0.31,0.03,0.128,0.6073,0.5,0.6277,0.6416,0.6504000000000001,0.1,-1.0,-1.0,1.0,0.2,0.12,0.11631953592388469,0.399614893459579
首都经济贸易大学,0.0,0.0,0.0,0.12,0.03,0.177,0.6081,0.3,0.6217,0.6385000000000001,0.6049,0.2,-1.0,-1.0,1.0,0.2,0.13,0.11632356275799424,0.39847599594000327
北京语言大学,0.0,0.0,0.0,0.31,0.03,0.202,0.6074,0.4,0.6198,0.635,0.6049,0.4,1.0,-1.0,-1.0,0.2,0.12,0.11635293348545685,0.4000064163095547
北京工商大学,0.0,0.0,0.0,0.12,0.03,0.224,0.6071,0.0,0.6189,0.633,0.6065999999999999,0.0,-1.0,-1.0,-1.0,0.2,0.13,0.11632537904190487,0.3993150487678948
北京建筑大学,0.0,0.0,0.0,0.12,0.03,0.276,0.6065999999999999,0.0,0.617,0.6307,0.6,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.11634796917971704,0.3994068479354159
北方工业大学,0.0,0.0,0.0,0.12,0.03,0.329,0.6026,0.0,0.6154999999999999,0.6308,0.6015999999999999,0.0,-1.0,-1.0,1.0,0.2,0.05,0.11621485000483785,0.39933738059633406
外交学院,0.0,0.0,0.0,0.31,0.03,0.329,0.6006,0.4,0.6154999999999999,0.632,0.6049,0.4,-1.0,-1.0,-1.0,0.2,0.12,0.11628716198144112,0.4016021707192172
国际关系学院,0.0,0.0,0.0,0.31,0.03,0.345,0.6004999999999999,0.3,0.6151,0.6301,0.6099,0.2,-1.0,-1.0,-1.0,0.2,0.07,0.11629275195696862,0.4001014405048145
北京信息科技大学,0.0,0.0,0.0,0.12,0.03,0.345,0.6034,0.0,0.6151,0.6292,0.6015999999999999,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.11635276065147672,0.4004417564225852
北京联合大学,0.0,0.0,0.0,0.12,0.03,0.349,0.6025,0.0,0.615,0.6296,0.6033,0.0,-1.0,-1.0,1.0,0.2,0.1,0.11643368162876545,0.3999669945133936
北京第二外国语学院,0.0,0.0,0.0,0.12,0.03,0.357,0.6015,0.3,0.6149,0.6303,0.6033,0.2,-1.0,-1.0,-1.0,0.2,0.12,0.11657010001029115,0.39918528058123615
